[2020-09-14 20:03:09,831][werkzeug][INFO] -  * Running on http://127.0.0.1:8081/ (Press CTRL+C to quit)
[2020-09-14 20:03:26,267][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:26] "[37mGET /marked_image/undefined HTTP/1.1[0m" 200 -
[2020-09-14 20:03:26,284][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:26] "[37mGET /set_filter/none/all/none/no/none HTTP/1.1[0m" 200 -
[2020-09-14 20:03:26,317][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:26] "[37mGET /get_label_value_on_image/none/0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:26,325][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:26] "[37mGET /marked_image/0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:27,590][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:27] "[37mGET /set_filter/none/all/identificable/no/none HTTP/1.1[0m" 200 -
[2020-09-14 20:03:27,619][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:27] "[37mGET /get_label_value_on_image/identificable/0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:29,739][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:29] "[37mGET /set_filter/person/all/identificable/no/none HTTP/1.1[0m" 200 -
[2020-09-14 20:03:29,765][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:29] "[37mGET /get_label_value_on_image/identificable/0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:31,461][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:31] "[37mGET /set_filter/person/clear/identificable/no/none HTTP/1.1[0m" 200 -
[2020-09-14 20:03:31,473][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:31] "[37mGET /get_label_value_on_image/identificable/0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:33,365][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:33] "[37mGET /set_filter/person/clear/identificable/yes/none HTTP/1.1[0m" 200 -
[2020-09-14 20:03:33,378][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:33] "[37mGET /get_label_value_on_image/identificable/0104_10_29_45_i697483_id10352_cn1578133840571341000_thr839.Sg_bord%20looks_different.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:33,383][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:33] "[37mGET /marked_image/0104_10_29_45_i697483_id10352_cn1578133840571341000_thr839.Sg_bord%20looks_different.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:38,761][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:38] "[37mGET /set_value/0104_10_29_45_i697483_id10352_cn1578133840571341000_thr839.Sg_bord%20looks_different.jpg/identificable/03_goodident HTTP/1.1[0m" 200 -
[2020-09-14 20:03:39,442][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:39] "[37mGET /get_label_value_on_image/identificable/0104_10_52_52_i698832_id10856_cn1578135275752934000_thr1000.%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:39,464][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:39] "[37mGET /marked_image/0104_10_52_52_i698832_id10856_cn1578135275752934000_thr1000.%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:40,539][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:40] "[37mGET /set_value/0104_10_52_52_i698832_id10856_cn1578135275752934000_thr1000.%20.jpg/identificable/03_goodident HTTP/1.1[0m" 200 -
[2020-09-14 20:03:40,877][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:40] "[37mGET /get_label_value_on_image/identificable/0104_14_24_25_i51256_id2319_cn1578147867138244000_thr892.Sg_bord%20looks_different.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:40,899][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:40] "[37mGET /marked_image/0104_14_24_25_i51256_id2319_cn1578147867138244000_thr892.Sg_bord%20looks_different.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:41,608][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:41] "[37mGET /set_value/0104_14_24_25_i51256_id2319_cn1578147867138244000_thr892.Sg_bord%20looks_different.jpg/identificable/03_goodident HTTP/1.1[0m" 200 -
[2020-09-14 20:03:42,395][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:42] "[37mGET /get_label_value_on_image/identificable/0105_09_44_52_i737046_id9997_cn1578217507475390000_thr997.Out%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:42,420][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:42] "[37mGET /marked_image/0105_09_44_52_i737046_id9997_cn1578217507475390000_thr997.Out%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:43,689][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:43] "[37mGET /set_value/0105_09_44_52_i737046_id9997_cn1578217507475390000_thr997.Out%20.jpg/identificable/03_goodident HTTP/1.1[0m" 200 -
[2020-09-14 20:03:43,960][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:43] "[37mGET /get_label_value_on_image/identificable/0105_11_27_48_i770336_id11869_cn1578223727936400000_thr1000.%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:43,991][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:43] "[37mGET /marked_image/0105_11_27_48_i770336_id11869_cn1578223727936400000_thr1000.%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:44,564][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:44] "[37mGET /set_value/0105_11_27_48_i770336_id11869_cn1578223727936400000_thr1000.%20.jpg/identificable/03_goodident HTTP/1.1[0m" 200 -
[2020-09-14 20:03:44,991][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:44] "[37mGET /get_label_value_on_image/identificable/0105_14_12_00_i8873_id1682_cn1578233522564828000_thr526.In%20.jpg HTTP/1.1[0m" 200 -
[2020-09-14 20:03:45,015][werkzeug][INFO] - 127.0.0.1 - - [14/Sep/2020 20:03:45] "[37mGET /marked_image/0105_14_12_00_i8873_id1682_cn1578233522564828000_thr526.In%20.jpg HTTP/1.1[0m" 200 -
